"","date","vx1_DTE","vx2_DTE","vx1_weight_30","vx2_weight_30","vx1","vx2","vx30","vx30_tr","VIX","VIX3M","premium","premium_mean","premium_sd","premium_zscore"
"1",2006-01-03,14,42,0.428571428571429,0.571428571428571,12.02,13.88,13.0828571428571,-0.0236445092483838,11.14,12.77,0.0242040881291883,NA,NA,NA
"2",2006-01-04,13,41,0.392857142857143,0.607142857142857,11.84,13.84,13.0542857142857,-0.00767976354566127,11.37,12.84,0.016551188817997,NA,NA,NA
"3",2006-01-05,12,40,0.357142857142857,0.642857142857143,11.83,13.73,13.0514285714286,-0.00543159507247254,11.31,12.79,0.0202339812616357,NA,NA,NA
"4",2006-01-06,11,39,0.321428571428571,0.678571428571429,11.56,13.53,12.8967857142857,-0.0173782895378948,11,12.44,0.0360610235735158,NA,NA,NA
"5",2006-01-09,8,36,0.214285714285714,0.785714285714286,11.33,13.29,12.87,-0.0183688306175656,11.13,12.5,0.0291703772997797,NA,NA,NA
"6",2006-01-10,7,35,0.178571428571429,0.821428571428571,11.22,13.04,12.715,-0.0173413624264181,10.86,12.3,0.0331831364957109,NA,NA,NA
"7",2006-01-11,6,34,0.142857142857143,0.857142857142857,11.19,12.84,12.6042857142857,-0.0136307038844095,10.94,12.61,-0.000453257798128143,NA,NA,NA
"8",2006-01-12,5,33,0.107142857142857,0.892857142857143,11.3,12.99,12.8089285714286,0.0114182114535968,11.2,12.7,0.00854047893269396,NA,NA,NA
"9",2006-01-13,4,32,0.0714285714285714,0.928571428571429,11.32,12.95,12.8335714285714,-0.00273744328026835,11.23,12.74,0.00731785518520488,NA,NA,NA
"10",2006-01-17,0,28,0.0625,0.9375,11.71,13.09,13.00375,0.0121977488424074,11.91,13.25,-0.0187597750292632,NA,NA,NA
"11",2006-01-18,27,118,0.967032967032967,0.032967032967033,13.27,15.18,13.332967032967,0.0133594022880393,12.25,13.34,-0.000527347946500406,NA,NA,NA
"12",2006-01-19,26,117,0.956043956043956,0.043956043956044,13.11,15.09,13.197032967033,-0.0118587241341876,11.98,13.14,0.00433101604534841,NA,NA,NA
"13",2006-01-20,25,116,0.945054945054945,0.0549450549450549,13.53,15.3,13.6272527472527,0.0305608702978323,14.56,14.57,-0.0668929540769247,NA,NA,NA
"14",2006-01-24,21,56,0.742857142857143,0.257142857142857,13.56,14.02,13.6782857142857,-0.0145210796878785,13.31,14.1,-0.0303652063252916,NA,NA,NA
"15",2006-01-25,20,55,0.714285714285714,0.285714285714286,13.32,13.82,13.4628571428571,-0.0168606019334104,12.87,13.59,-0.00939965731508912,NA,NA,NA
"16",2006-01-26,19,54,0.685714285714286,0.314285714285714,12.92,13.68,13.1588571428571,-0.0241075705652346,12.42,13.24,-0.00614747163072168,NA,NA,NA
