time,VIX1_price,VIX1_expDate,VIX2_price,VIX2_expDate,VIX3_price,VIX3_expDate,VIX4_price,VIX4_expDate,VIX5_price,VIX5_expDate
1707323457984,12.42,1708063200000,13.27,1710478800000,14.3,1713502800000,15.06,1715922000000,15.77,1718946000000
1707237057984,12.46,1708063200000,13.45,1710478800000,14.48,1713502800000,15.22,1715922000000,15.9,1718946000000
1707150657984,13.39,1708063200000,13.97,1710478800000,14.86,1713502800000,15.58,1715922000000,16.18,1718946000000
1706891457984,13.58,1708063200000,14.38,1710478800000,15.27,1713502800000,15.95,1715922000000,16.5,1718946000000
1706805057984,13.73,1708063200000,14.4,1710478800000,15.19,1713502800000,15.87,1715922000000,16.43,1718946000000
1706718657984,14.49,1708063200000,14.96,1710478800000,15.76,1713502800000,16.35,1715922000000,16.88,1718946000000
1706632257984,13.38,1708063200000,14.05,1710478800000,14.91,1713502800000,15.59,1715922000000,16.16,1718946000000
1706545857984,13.57,1708063200000,14.19,1710478800000,15.04,1713502800000,15.68,1715922000000,16.24,1718946000000
1706286657984,13.26,1708063200000,13.99,1710478800000,14.89,1713502800000,15.55,1715922000000,16.14,1718946000000
1706200257984,13.52,1708063200000,14.16,1710478800000,14.99,1713502800000,15.63,1715922000000,16.18,1718946000000
1706113857984,13.27,1708063200000,13.99,1710478800000,14.88,1713502800000,15.54,1715922000000,16.1,1718946000000
1706027457984,12.6,1708063200000,13.46,1710478800000,14.41,1713502800000,15.1,1715922000000,15.75,1718946000000
1705941057984,13.24,1708063200000,13.96,1710478800000,14.85,1713502800000,15.54,1715922000000,16.12,1718946000000
1705681857984,13.27,1708063200000,14.27,1710478800000,15.23,1713502800000,15.86,1715922000000,16.43,1718946000000
1705595457984,14.13,1708063200000,14.93,1710478800000,15.82,1713502800000,16.45,1715922000000,16.98,1718946000000
1705509057984,14.79,1708063200000,15.51,1710478800000,16.37,1713502800000,16.96,1715922000000,17.45,1718946000000
1705422657984,13.84,1708063200000,14.83,1710478800000,15.76,1713502800000,16.39,1715922000000,16.97,1718946000000
1705077057984,12.82,1708063200000,14.01,1710478800000,15.01,1713502800000,15.76,1715922000000,16.39,1718946000000
1704990657984,10.53,1705644000000,12.56,1708063200000,13.65,1710478800000,14.68,1713502800000,15.46,1715922000000
1704904257984,11.13,1705644000000,12.86,1708063200000,13.87,1710478800000,14.88,1713502800000,15.65,1715922000000
1704817857984,11.26,1705644000000,12.96,1708063200000,14,1710478800000,15.08,1713502800000,15.88,1715922000000
1704731457984,11.5,1705644000000,13.25,1708063200000,14.29,1710478800000,15.34,1713502800000,16.05,1715922000000
1704472257984,11.75,1705644000000,13.64,1708063200000,14.7,1710478800000,15.81,1713502800000,16.57,1715922000000
1704385857984,12.87,1705644000000,14.34,1708063200000,15.3,1710478800000,16.33,1713502800000,17.03,1715922000000
1704299457984,12.91,1705644000000,14.31,1708063200000,15.32,1710478800000,16.37,1713502800000,17.11,1715922000000
1704213057984,12.13,1705644000000,13.65,1708063200000,14.75,1710478800000,15.88,1713502800000,16.67,1715922000000
1703867457984,11.64,1705644000000,13.47,1708063200000,14.61,1710478800000,15.77,1713502800000,16.57,1715922000000
